label	color	shape	title	exp
HSP82	#76D7C4	circle	Type: gene<br>FC: 3.15<br>Function: Hsp90 chaperone<br>	UP
CPR6	#76D7C4	circle	Type: gene<br>FC: 2.19<br>Function: Peptidyl-prolyl cis-trans isomerase (cyclophilin)<br>	UP
YER135C	#76D7C4	circle	Type: gene<br>FC: 2.52<br>Function: Putative protein of unknown function<br>	UP
SPS22	#76D7C4	circle	Type: gene<br>FC: 1.91<br>Function: Protein of unknown function<br>	UP
ARG3	#76D7C4	circle	Type: gene<br>FC: 3.32<br>Function: Ornithine carbamoyltransferase<br>	UP
SIP4	#76D7C4	circle	Type: gene<br>FC: 2.92<br>Function: C6 zinc cluster transcriptional activator<br>	UP
ISF1	#76D7C4	circle	Type: gene<br>FC: 1.56<br>Function: Serine-rich, hydrophilic protein<br>	UP
SEO1	#76D7C4	circle	Type: gene<br>FC: 2.05<br>Function: Putative permease<br>	UP
YEL073C	#76D7C4	circle	Type: gene<br>FC: 1.61<br>Function: Putative protein of unknown function<br>	UP
YAL064W	#76D7C4	circle	Type: gene<br>FC: 1.24<br>Function: Protein of unknown function<br>	UP
GLK1	#76D7C4	circle	Type: gene<br>FC: 1.94<br>Function: Glucokinase<br>	UP
PET10	#76D7C4	circle	Type: gene<br>FC: 2.22<br>Function: Perilipin, involved in formation and stability of lipid droplets<br>	UP
GDH3	#76D7C4	circle	Type: gene<br>FC: 1.61<br>Function: NADP(+)-dependent glutamate dehydrogenase<br>	UP
YCL042W	#76D7C4	circle	Type: gene<br>FC: 1.89<br>Function: Putative protein of unknown function<br>	UP
YRO2	#76D7C4	circle	Type: gene<br>FC: 3.33<br>Function: Protein with a putative role in response to acid stress<br>	UP
SHH3	#76D7C4	circle	Type: gene<br>FC: 3.19<br>Function: Putative mitochondrial inner membrane protein of unknown function<br>	UP
TDA8	#76D7C4	circle	Type: gene<br>FC: 2.25<br>Function: Putative protein of unknown function<br>	UP
REG2	#76D7C4	circle	Type: gene<br>FC: 1.54<br>Function: Regulatory subunit of the Glc7p type-1 protein phosphatase<br>	UP
YER145C-A	#76D7C4	circle	Type: gene<br>FC: 3.29<br>Function: Putative protein of unknown function<br>	UP
HBN1	#76D7C4	circle	Type: gene<br>FC: 1.94<br>Function: Protein of unknown function<br>	UP
FRM2	#76D7C4	circle	Type: gene<br>FC: 1.88<br>Function: Type II nitroreductase, using NADH as reductant<br>	UP
GCV1	#76D7C4	circle	Type: gene<br>FC: 0.88<br>Function: T subunit of the mitochondrial glycine decarboxylase complex<br>	UP
YOR338W	#76D7C4	circle	Type: gene<br>FC: 2.52<br>Function: Putative protein of unknown function<br>	UP
RTA1	#76D7C4	circle	Type: gene<br>FC: 1.43<br>Function: Protein involved in 7-aminocholesterol resistance<br>	UP
YPR027C	#76D7C4	circle	Type: gene<br>FC: 0.72<br>Function: Putative protein of unknown function<br>	UP
MAG1	#76D7C4	circle	Type: gene<br>FC: 1.42<br>Function: 3-methyl-adenine DNA glycosylase<br>	UP
STE3	#76D7C4	circle	Type: gene<br>FC: 2.02<br>Function: Receptor for a factor pheromone<br>	UP
