protein1 protein2
Q0010 Q0017
Q0010 Q0143
Q0010 Q0092
Q0010 Q0182
Q0010 Q0297
Q0010 Q0032
Q0017 Q0297
Q0017 Q0143
Q0017 Q0032
Q0017 Q0010
Q0017 Q0182
Q0032 Q0297
Q0032 Q0010
Q0032 Q0182
Q0032 Q0143
Q0032 Q0017
Q0045 YML120C
Q0045 YPL172C
Q0045 Q0065
Q0045 YLR067C
Q0045 YDR119W-A
Q0045 YEL024W
Q0045 Q0275
Q0045 YBL045C
Q0045 YLR395C
Q0045 YGL187C
Q0045 YIL111W
Q0045 YHR051W
Q0045 YJL062W-A
Q0045 YNR018W
Q0045 Q0120
Q0045 YFR033C
Q0045 Q0050
Q0045 YMR256C
Q0045 Q0105
Q0045 YDR529C
Q0045 Q0250
Q0045 YHR001W-A
Q0045 YML129C
Q0045 YLR038C
Q0045 Q0070
Q0045 YDL067C
Q0045 YLR203C
Q0045 YPR191W
Q0045 Q0130
Q0045 Q0110
Q0045 YMR145C
Q0045 Q0085
Q0045 YGR112W
Q0045 YDL085W
Q0045 YNL052W
Q0045 YIL157C
Q0045 YGL191W
Q0045 YGR183C
Q0045 YJL166W
Q0045 Q0140
Q0045 YOR065W
Q0045 Q0115
Q0050 Q0110
Q0050 Q0105
Q0050 Q0075
Q0050 Q0115
Q0050 Q0045
Q0050 Q0120
Q0050 Q0250
Q0050 Q0275
Q0055 Q0110
Q0060 Q0250
Q0060 Q0105
Q0060 YHR051W
Q0060 Q0275
Q0065 YHR051W
Q0065 Q0275
Q0065 Q0045
Q0065 Q0085
Q0065 Q0250
Q0065 Q0105
Q0065 Q0070
Q0070 Q0250
Q0070 Q0105
Q0070 Q0085
Q0070 Q0115
Q0070 Q0275
Q0070 Q0065
Q0070 Q0045
Q0070 YHR051W
Q0070 Q0075
Q0070 Q0120
Q0075 Q0050
Q0075 YGR222W
Q0075 Q0070
Q0075 Q0115
Q0075 YIR021W
Q0080 YDR298C
Q0080 YLR295C
Q0080 Q0085
Q0080 Q0130
Q0080 YBR039W
Q0080 YML081C-A
Q0080 YBL099W
Q0080 YKL016C
Q0080 YPL271W
Q0080 YOL077W-A
Q0080 YDR377W
Q0080 YJR121W
Q0080 YPL078C
Q0080 YDL004W
Q0085 Q0070
Q0085 YNL178W
Q0085 YEL051W
Q0085 YKL080W
Q0085 YHR026W
Q0085 Q0250
Q0085 YOR332W
Q0085 YHR039C-A
Q0085 YKL016C
Q0085 YBL099W
Q0085 Q0105
Q0085 YEL027W
Q0085 Q0140
Q0085 Q0115
Q0085 YJL180C
Q0085 YGL191W
Q0085 Q0110
Q0085 Q0130
Q0085 YER154W
Q0085 YFL036W
Q0085 YDR298C
Q0085 YPL271W
Q0085 YLR393W
Q0085 YJR121W
Q0085 Q0045
Q0085 Q0080
Q0085 YDL004W
Q0085 YPL078C
Q0085 YML081C-A
Q0085 Q0275
Q0085 YPR020W
Q0085 Q0065
Q0085 YLR067C
Q0085 YLR447C
Q0085 YPL234C
Q0085 YDR377W
Q0085 YMR054W
Q0085 YDR322C-A
Q0085 Q0120
Q0085 YBR039W
Q0085 YLR295C
Q0085 YOL077W-A
Q0092 Q0143
Q0092 YDR296W
Q0092 Q0010
Q0105 YLL018C-A
Q0105 Q0050
Q0105 YFR033C
Q0105 YHR051W
Q0105 YDR197W
Q0105 YKL141W
Q0105 YML120C
Q0105 YIL111W
Q0105 Q0045
Q0105 YGL187C
Q0105 Q0060
Q0105 YLR395C
Q0105 YBL045C
Q0105 YEL039C
Q0105 YEL024W
Q0105 Q0275
Q0105 YDR119W-A
Q0105 Q0065
Q0105 YDR178W
Q0105 YJR048W
Q0105 YOR065W
Q0105 Q0140
Q0105 YJL166W
Q0105 YGL191W
Q0105 YGR183C
Q0105 YNL052W
Q0105 YDL085W
Q0105 YMR145C
Q0105 Q0085
Q0105 Q0130
Q0105 YPL215W
Q0105 YLL041C
Q0105 YPR191W
Q0105 YGR062C
Q0105 YDL067C
Q0105 YJL003W
Q0105 Q0070
Q0105 YKL148C
Q0105 YPL132W
Q0105 YHR001W-A
Q0105 YLR038C
Q0105 YDR529C
Q0105 Q0250
Q0105 YDR231C
Q0105 YJL045W
Q0105 YLR163C
Q0105 YMR256C
Q0110 Q0045
Q0110 Q0055
Q0110 Q0250
Q0110 Q0275
Q0110 YEL024W
Q0110 YOR065W
Q0110 Q0050
Q0110 Q0085
Q0115 Q0085
Q0115 Q0075
Q0115 Q0050
Q0115 YOR065W
Q0115 YIR021W
Q0115 YEL024W
Q0115 Q0275
Q0115 Q0250
Q0115 Q0070
Q0115 Q0045
Q0120 YDL085W
Q0120 YNL052W
Q0120 YGR183C
Q0120 YGL191W
Q0120 YJL166W
Q0120 YFR033C
Q0120 Q0050
Q0120 YOR065W
Q0120 YJR048W
Q0120 YLL018C-A
Q0120 YKL141W
Q0120 YHR051W
Q0120 YGR062C
Q0120 YPR191W
Q0120 YLL041C
Q0120 Q0085
Q0120 YMR145C
Q0120 YLR038C
Q0120 YPL132W
Q0120 YJL225C
Q0120 YKL148C
Q0120 YLR395C
Q0120 Q0070
Q0120 YLR382C
Q0120 YGL187C
Q0120 Q0045
Q0120 YIL111W
Q0120 YML120C
Q0120 YLR163C
Q0120 YDR178W
Q0120 YJL045W
Q0120 Q0275
Q0120 YEL024W
Q0120 Q0250
Q0120 YEL039C
Q0120 YDR231C
Q0120 YDR529C
Q0130 YPR133W-A
Q0130 YDL217C
Q0130 YGR082W
Q0130 YER154W
Q0130 YDR298C
Q0130 YGL191W
Q0130 YDL174C
Q0130 YLR163C
Q0130 YKL016C
Q0130 YBL099W
Q0130 YJL054W
Q0130 Q0250
Q0130 YNL070W
Q0130 YHR051W
Q0130 YMR203W
Q0130 YBR039W
Q0130 YLR295C
Q0130 YDR377W
Q0130 YDL185W
Q0130 YPR020W
Q0130 YNL121C
Q0130 YML081C-A
Q0130 YNL037C
Q0130 Q0080
Q0130 YDL004W
Q0130 YJR121W
Q0130 YGL187C
Q0130 Q0045
Q0130 YPL271W
Q0130 YPR191W
Q0130 Q0085
Q0130 YNL131W
Q0130 YHR024C
Q0130 YNL052W
Q0130 YMR056C
Q0130 Q0140
Q0130 YJL166W
Q0130 YOR065W
Q0130 YLR259C
Q0130 Q0105
Q0130 YNR041C
Q0130 YBR127C
Q0130 YLR038C
Q0130 YNL178W
Q0130 YEL051W
Q0130 YOL077W-A
