node1 node2
SMP1 SMP1
SMP1 SSB1
SMP1 STF2
SMP1 YGR035C
SMP1 PDC6
SMP1 GND2
SMP1 PAU12
SMP1 SPL2
SMP1 MHO1
SMP1 PXA2
SMP1 UBI4
SMP1 FRE1
SMP1 REC114
SMP1 YBR053C
SMP1 YBR062C
MAL33 ARA1
MAL33 PHO89
MAL33 MAL33
MAL33 YCL049C
MAL33 IRC7
MAL33 LEU1
MAL33 YGR079W
MAL33 YHR054C
MAL33 SPL2
MAL33 ARO9
MAL33 YHR140W
MAL33 SIM1
MAL33 QDR2
MAL33 MHO1
MAL33 SRY1
MAL33 URA1
MAL33 FAS1
MAL33 RPL17A
MAL33 YKL162C-A
MAL33 YKL162C
MAL33 KDX1
MAL33 RSM22
MAL33 NNR2
MAL33 YKL147C
MAL33 RPT1
MAL33 MRP8
MAL33 RCI50
MAL33 YKL131W
MAL33 PGM1
MAL33 SSH4
MAL33 OAC1
MAL33 HAP4
MAL33 YKL091C
MAL33 TEF4
MAL33 SMY1
MAL33 YET1
MAL33 MSN4
MAL33 YKL053W
MAL33 YKL030W
MAL33 PUT3
MAL33 RPL14A
MAL33 YKR011C
MAL33 YKR012C
MAL33 DID2
MAL33 PLN1
MAL33 FMP46
MAL33 RPS21A
MAL33 KTR2
MAL33 ECM4
MAL33 MTD1
MAL33 RPL40B
MAL33 UBP11
MAL33 VBA5
MAL33 PUT1
MAL33 UPS2
MAL33 YLR349W
MAL33 URA4
MAL33 DAK1
MAL33 YML009W-B
MAL33 HXT2
MAL33 ADE17
MAL33 HSC82
MAL33 GAS3
MAL33 HOR7
MAL33 GOR1
MAL33 AGA1
MAL33 ATG19
MAL33 MCH5
MAL33 ATF1
MAL33 HSP82
MAL33 CDC60
MAL33 SSE1
MAL33 OAZ1
MAL33 GDH3
MAL33 CYC3
MAL33 YAR075W
HCM1 YDL187C
HCM1 ADR1
HCM1 CTA1
HCM1 HSP12
HCM1 HXK1
HCM1 HOP2
HCM1 CTT1
HCM1 PAU12
HCM1 SPL2
